Station,Visit1,Visit2,Visit3,Visit4,Raster1,Raster2,Raster3,Raster4,Raster5,Raster6,Raster7,Raster8,Date1,Date2,Date3,Date4,RV,Year
BG-0015-001,0,0,0,0,1,0,0,0,0,0,0,0,181,183,185,191,1,2018
BG-0015-002,0,0,0,0,0,0,0,0,0,0,0,0,183,188,190,195,0,2018
BG-0015-003,0,0,0,0,0,0,0,0,0,0,0,0,186,188,191,196,0,2018
BG-0015-004,0,0,0,0,0,0,0,0,0,0,0,0,186,187,190,192,0,2018
BG-0015-005,0,0,0,0,0,0,0,0,0,0,0,0,152,153,157,159,0,2018
BG-0015-006,0,0,0,0,1,0,0,0,0,0,0,0,152,153,156,161,1,2018
BG-0015-011,0,0,0,0,0,1,0,0,0,0,0,0,182,190,191,195,2,2018
BG-0015-012,0,0,0,0,1,0,0,0,0,0,0,0,184,190,191,195,1,2018
BG-0015-013,0,0,0,0,0,0,0,0,0,0,0,0,190,192,193,195,0,2018
BG-0015-014,0,0,0,0,0,0,0,0,0,0,0,0,187,188,190,195,0,2018
BG-0015-015,0,0,0,0,0,0,0,0,0,0,0,0,153,155,158,159,0,2018
BG-0015-016,0,0,0,0,0,0,0,0,0,0,0,0,153,154,157,158,0,2018
BG-0015-017,0,0,0,0,1,0,0,0,0,0,0,0,181,188,190,196,1,2019
BG-0015-018,0,0,0,0,0,0,0,1,0,0,0,0,181,187,194,196,4,2019
BG-0015-019,0,0,0,0,0,0,1,0,0,0,0,0,157,162,177,181,3,2019
BG-0015-020,0,0,0,0,1,0,0,0,0,0,0,0,154,171,176,195,1,2019
BG-0015-021,0,0,0,0,0,0,1,0,0,0,0,0,182,185,187,192,3,2018
BG-0015-022,0,0,0,0,0,0,0,0,1,0,0,0,182,184,185,192,5,2018
BG-0015-023,0,0,0,0,0,1,0,0,0,0,0,0,155,156,158,161,2,2018
BG-0015-024,0,0,0,0,0,1,0,0,0,0,0,0,152,154,158,162,2,2018
BG-0015-026,0,0,0,0,0,0,0,1,0,0,0,0,184,185,186,188,4,2018
BG-0015-027,0,0,0,0,0,0,0,1,0,0,0,0,154,157,160,161,4,2018
BG-0015-028,0,0,0,0,0,0,0,1,0,0,0,0,152,158,159,164,4,2018
BG-0015-029,0,0,0,0,0,0,1,0,0,0,0,0,178,179,183,185,3,2018
BG-0015-030,0,0,0,0,1,0,0,0,0,0,0,0,177,192,194,195,1,2018
BG-0015-031,0,0,0,0,1,0,0,0,0,0,0,0,187,191,192,196,1,2019
BG-0015-032,0,0,0,0,1,0,0,0,0,0,0,0,182,183,192,195,1,2019
BG-0015-033,0,0,0,0,1,0,0,0,0,0,0,0,154,155,160,161,1,2018
BG-0015-034,0,0,0,0,1,0,0,0,0,0,0,0,153,159,160,161,1,2018
BG-0015-035,0,0,0,0,0,0,0,0,0,0,0,0,183,186,187,190,0,2018
BG-0015-036,0,0,0,0,0,0,0,0,0,0,0,0,182,184,189,195,0,2018
BG-0015-037,0,0,0,0,0,0,0,1,0,0,0,0,157,158,160,164,4,2018
BG-0015-038,0,0,0,0,1,0,0,0,0,0,0,0,153,154,161,162,1,2018
BG-0015-039,0,0,0,0,0,1,0,0,0,0,0,0,168,173,186,193,2,2018
BG-0015-040,0,0,0,0,0,0,1,0,0,0,0,0,173,174,183,191,3,2018
BG-0015-041,0,0,0,0,1,0,0,0,0,0,0,0,152,156,160,161,1,2018
BG-0015-042,0,0,0,0,0,1,0,0,0,0,0,0,154,156,157,164,2,2018
BG-0015-043,0,0,0,0,0,0,0,0,0,0,0,0,181,186,192,195,0,2018
BG-0015-044,0,0,0,0,0,0,0,0,0,0,0,0,187,189,191,196,0,2018
BG-0015-045,0,0,0,0,0,0,0,0,0,0,0,0,154,157,158,159,0,2018
BG-0015-046,0,0,0,0,0,1,0,0,0,0,0,0,154,156,157,158,2,2018
BG-0015-047,0,0,0,0,0,1,0,0,0,0,0,0,172,176,182,187,2,2018
BG-0015-048,0,0,0,0,0,0,1,0,0,0,0,0,175,181,185,193,3,2018
BG-0015-049,0,0,0,0,0,1,0,0,0,0,0,0,152,157,162,164,2,2018
BG-0015-050,0,0,0,0,0,0,0,0,0,0,0,0,155,157,160,161,0,2018
BG-0015-051,0,0,0,0,0,0,1,0,0,0,0,0,153,157,162,164,3,2018
BG-0015-052,0,0,0,0,1,0,0,0,0,0,0,0,158,159,160,162,1,2018
BG-0015-053,0,0,0,0,0,0,0,0,0,0,0,0,170,175,179,193,0,2018
BG-0015-054,0,0,0,0,0,0,0,0,1,0,0,0,171,175,183,184,5,2018
BG-0015-055,0,0,0,0,1,0,0,0,0,0,0,0,152,155,158,159,1,2018
BG-0015-056,0,0,0,0,0,0,0,0,0,0,0,0,154,155,158,159,0,2018
BG-0015-057,0,0,0,0,0,1,0,0,0,0,0,0,168,171,173,174,2,2018
BG-0015-058,0,0,1,1,0,1,0,0,0,0,0,0,169,175,190,192,2,2018
BG-0015-059,0,0,0,0,0,0,0,0,0,0,0,0,142,143,144,145,0,2018
BG-0015-060,0,0,0,0,0,1,0,0,0,0,0,0,153,155,157,160,2,2018
BG-0015-061,0,0,0,0,1,0,0,0,0,0,0,0,173,174,188,189,1,2018
BG-0015-062,0,0,0,0,0,0,0,0,0,0,0,0,180,181,189,194,0,2018
BG-0015-063,0,0,0,0,1,0,0,0,0,0,0,0,152,153,155,159,1,2018
BG-0015-064,0,0,0,0,1,0,0,0,0,0,0,0,155,158,159,161,1,2018
BG-0015-066,0,0,0,0,1,0,0,0,0,0,0,0,182,184,192,193,1,2018
BG-0015-067,0,0,0,0,1,0,0,0,0,0,0,0,152,153,156,157,1,2018
BG-0015-068,0,0,0,0,1,0,0,0,0,0,0,0,153,156,157,160,1,2018
BG-0015-069,0,0,0,0,0,1,0,0,0,0,0,0,170,179,193,195,2,2018
BG-0015-070,0,0,0,0,1,0,0,0,0,0,0,0,180,181,185,186,1,2018
BG-0015-071,0,0,0,0,0,0,0,0,0,0,0,0,177,180,187,193,0,2018
BG-0015-072,0,0,0,0,0,0,0,0,0,0,0,0,171,172,182,195,0,2018
BG-0015-073,0,0,0,0,0,0,0,1,0,0,0,0,152,155,160,161,4,2018
BG-0015-074,0,0,0,0,1,0,0,0,0,0,0,0,153,154,156,157,1,2018
BG-0015-075,0,0,0,0,0,0,0,1,0,0,0,0,168,168,169,169,4,2018
BG-0015-077,0,0,0,0,0,1,0,0,0,0,0,0,152,156,158,159,2,2018
BG-0015-078,0,0,0,0,0,1,0,0,0,0,0,0,157,158,160,161,2,2018
BG-0015-079,0,0,0,0,1,0,0,0,0,0,0,0,172,183,190,193,1,2018
BG-0015-080,0,0,0,0,1,0,0,0,0,0,0,0,168,175,178,179,1,2018
BG-0015-081,0,0,0,0,0,1,0,0,0,0,0,0,172,177,179,192,2,2018
BG-0015-082,0,0,0,0,0,0,0,0,0,0,0,0,176,182,184,187,0,2018
BG-0015-083,0,0,0,0,1,0,0,0,0,0,0,0,169,170,187,193,1,2018
BG-0015-084,0,0,0,0,0,0,0,0,0,0,0,0,177,179,183,187,0,2018
BG-0015-085,0,0,0,0,0,1,0,0,0,0,0,0,154,156,157,158,2,2018
BG-0015-086,0,0,0,0,0,0,0,1,0,0,0,0,154,156,158,159,4,2018
BG-0015-088,0,0,0,0,1,0,0,0,0,0,0,0,183,191,192,195,1,2018
BG-0015-089,0,0,0,0,0,0,1,0,0,0,0,0,183,186,190,192,3,2018
BG-0015-090,0,0,0,0,0,0,1,0,0,0,0,0,184,187,190,195,3,2018
BG-0015-091,0,0,0,0,0,0,0,1,0,0,0,0,172,175,187,190,4,2018
BG-0015-092,0,0,0,0,1,0,0,0,0,0,0,0,170,173,190,193,1,2018
BG-0015-093,0,0,0,0,0,1,0,0,0,0,0,0,173,186,188,193,2,2018
BG-0015-094,0,0,0,0,0,0,0,0,0,1,0,0,177,184,185,189,6,2018
BG-0015-095,0,0,0,0,0,0,0,1,0,0,0,0,160,161,163,165,4,2018
BG-0015-096,0,0,0,0,0,1,0,0,0,0,0,0,157,158,160,161,2,2018
BG-0015-097,0,0,0,0,1,0,0,0,0,0,0,0,169,183,187,195,1,2018
BG-0015-098,0,0,0,0,1,0,0,0,0,0,0,0,191,193,194,195,1,2018
BG-0015-099,0,0,0,0,1,0,0,0,0,0,0,0,183,186,188,193,1,2018
BG-0015-100,0,0,0,0,1,0,0,0,0,0,0,0,184,187,189,192,1,2018
LP-014-03-CT,0,0,0,0,0,0,1,0,0,0,0,0,152,157,162,163,3,2018
LP-014-04-CT,0,0,0,0,0,1,0,0,0,0,0,0,154,157,159,162,2,2018
LP-014-05-CT,0,0,0,0,0,0,0,0,1,0,0,0,157,159,162,163,5,2018
LP-014-06-CT,0,0,0,0,0,0,0,0,1,0,0,0,153,154,156,158,5,2018
LP-014-07-CT,0,0,0,0,0,0,1,0,0,0,0,0,153,155,161,162,3,2018
LP-014-08-CT,0,0,0,0,0,1,0,0,0,0,0,0,153,155,156,159,2,2018
LP-014-09-CT,0,0,0,0,0,0,0,0,1,0,0,0,152,157,158,159,5,2018
LP-014-11-CT,0,0,0,0,1,0,0,0,0,0,0,0,153,154,160,161,1,2018
LP-014-12-CT,0,0,0,0,0,0,1,0,0,0,0,0,152,155,161,164,3,2018
LP-024-001-CT,0,0,0,0,0,0,0,0,1,0,0,0,153,154,157,159,5,2018
LP-024-001-NE,0,0,0,0,0,0,0,0,1,0,0,0,153,155,157,163,5,2018
LP-024-001-NW,0,0,0,0,0,0,1,0,0,0,0,0,153,156,162,164,3,2018
LP-024-001-SE,0,0,0,0,0,0,0,1,0,0,0,0,153,157,158,164,4,2018
LP-024-001-SW,0,0,0,0,0,0,0,0,1,0,0,0,152,155,156,157,5,2018
LPRETN-01-18,0,0,0,0,0,0,0,0,0,0,0,0,148,149,150,151,0,2019
LPRETN-01-19,0,0,0,0,0,0,0,1,0,0,0,0,147,148,149,150,4,2019
LPRETN-01-20,0,0,0,0,0,0,1,0,0,0,0,0,147,148,149,150,3,2019
OW-32-93-CT,0,0,0,0,0,1,0,0,0,0,0,0,152,161,163,164,2,2018
OW-32-93-NE,0,0,0,0,0,0,0,1,0,0,0,0,152,155,157,159,4,2018
OW-32-93-NW,0,0,0,0,0,0,0,0,1,0,0,0,155,160,162,164,5,2018
OW-32-93-SE,0,0,0,0,0,1,0,0,0,0,0,0,155,160,161,162,2,2018
OW-32-93-SW,0,0,0,0,0,0,0,0,0,0,0,0,153,156,161,164,0,2018
PDTG-003,0,0,0,0,0,0,0,1,0,0,0,0,179,184,190,192,4,2018
PDTG-004,0,0,0,0,1,0,0,0,0,0,0,0,154,156,159,166,1,2018
PDTG-006,0,0,0,0,0,0,1,0,0,0,0,0,166,169,186,189,3,2018
PDTG-007,0,0,0,0,1,0,0,0,0,0,0,0,155,175,181,196,1,2018
PDTG-008,0,0,0,0,0,0,1,0,0,0,0,0,155,156,157,158,3,2018
PDTG-010,0,0,0,0,0,0,1,0,0,0,0,0,159,162,163,169,3,2018
PDTG-011,0,0,0,0,0,0,0,1,0,0,0,0,158,164,166,169,4,2018
PDTG-018,0,0,0,0,0,0,1,0,0,0,0,0,157,162,163,167,3,2018
PDTG-020,0,0,0,0,0,0,0,0,0,0,0,0,155,158,161,188,0,2018
PDTG-021,0,0,0,0,0,1,0,0,0,0,0,0,157,164,169,170,2,2018
PDTG-022,0,0,0,0,0,0,0,0,0,0,0,0,154,161,168,170,0,2018
PDTG-024,0,0,0,0,0,0,0,1,0,0,0,0,152,155,158,174,4,2018
PDTG-027,0,0,0,0,0,0,0,0,0,1,0,0,152,162,163,169,6,2018
PDTG-033,0,0,0,0,0,0,0,0,1,0,0,0,154,155,158,183,5,2018
PDTG-034,0,0,0,0,1,0,0,0,0,0,0,0,155,163,164,166,1,2018
RETN-035-01,0,0,0,0,1,0,0,0,0,0,0,0,154,160,163,169,1,2018
RETN-038-01,0,0,0,0,0,0,0,0,0,0,0,0,155,158,169,171,0,2018
RETN-039-01,0,0,0,0,0,0,0,0,0,0,0,0,158,163,169,170,0,2018
RETN-042-01,0,0,0,0,0,1,0,0,0,0,0,0,153,158,164,166,2,2018
RETN-042-02,0,0,0,0,0,1,0,0,0,0,0,0,157,159,179,186,2,2018
RETN-042-03,0,0,0,0,1,0,0,0,0,0,0,0,153,159,164,165,1,2018
RETN-042-04,0,0,0,0,0,1,0,0,0,0,0,0,153,158,161,163,2,2018
RETN-042-07,0,0,0,0,0,0,0,0,1,0,0,0,157,166,186,189,5,2019
RETN-042-08,0,0,0,0,0,0,0,1,0,0,0,0,161,180,184,188,4,2019
RETN-042-09,0,0,0,0,0,0,0,1,0,0,0,0,174,181,185,187,4,2019
RETN-042-13,0,0,0,0,0,0,1,0,0,0,0,0,154,162,167,181,3,2019
RETN-072-01,0,0,0,0,1,0,0,0,0,0,0,0,161,165,174,180,1,2019
RETN-072-02,0,0,0,0,0,1,0,0,0,0,0,0,164,165,168,180,2,2019
RETN-073-01,0,0,0,0,0,0,0,1,0,0,0,0,175,176,179,184,4,2019
RETN-074-01,0,0,0,0,0,0,0,1,0,0,0,0,149,150,151,152,4,2019
RETN-074-02,0,0,0,0,0,0,0,1,0,0,0,0,146,147,148,149,4,2019
RETN-074-03,0,0,0,0,0,1,0,0,0,0,0,0,161,172,191,195,2,2019
RETN-074-04,0,0,0,0,0,0,0,0,0,1,0,0,146,147,148,149,6,2019
RETN-074-05,0,0,0,0,0,0,0,1,0,0,0,0,148,149,150,151,4,2019
RETN-074-06,0,0,0,0,0,0,0,0,0,0,0,0,153,166,183,191,0,2019
RETN-074-07,0,0,0,0,0,0,0,1,0,0,0,0,177,182,185,187,4,2019
RETN-075-01,0,0,0,0,0,0,0,0,0,0,0,0,153,165,175,178,0,2019
RETN-075-04,0,0,0,0,0,0,0,0,0,0,0,0,148,149,150,151,0,2019
RETN-075-05,0,0,0,0,0,0,0,0,0,0,0,0,147,148,149,150,0,2019
RETN-075-06,0,0,0,0,0,0,0,0,0,1,0,0,148,149,150,151,6,2019
RETN-075-08,0,0,0,0,0,0,0,0,0,1,0,0,148,149,150,151,6,2019
RETN-076-09,0,0,0,0,0,1,0,0,0,0,0,0,154,156,165,172,2,2019
RETN-076-10,0,0,0,0,0,1,0,0,0,0,0,0,176,178,183,186,2,2019
RETN-077-01,0,0,0,0,0,0,0,1,0,0,0,0,158,163,168,170,4,2019
RIVR-010-01,0,0,0,0,0,1,0,0,0,0,0,0,180,183,186,186,2,2018
RIVR-010-02,0,0,0,0,0,1,0,0,0,0,0,0,181,184,187,190,2,2018
RIVR-010-03,0,0,0,0,0,1,0,0,0,0,0,0,179,181,186,188,2,2018
RIVR-010-04,0,0,0,0,1,0,0,0,0,0,0,0,178,182,187,188,1,2018
RIVR-010-05,0,0,0,0,0,0,1,0,0,0,0,0,178,181,186,190,3,2018
RIVR-010-06,0,0,0,0,0,1,0,0,0,0,0,0,184,185,186,191,2,2018
RIVR-010-07,0,0,0,0,0,0,0,1,0,0,0,0,178,179,182,188,4,2018
RIVR-010-08,0,0,0,0,1,0,0,0,0,0,0,0,179,180,184,187,1,2018
RS-0030-A,0,0,0,0,0,0,0,0,0,0,0,1,153,158,162,165,8,2018
RS-0030-B,0,0,0,0,0,0,0,0,0,0,0,1,158,161,165,166,8,2018
RS-0030-C,0,0,0,0,0,0,0,0,0,0,1,0,159,161,163,165,7,2018
RS-0030-D,0,0,0,0,0,0,0,0,0,0,0,1,152,153,158,162,8,2018
RS-0030-E,0,0,0,0,0,0,0,0,0,0,0,1,153,158,163,167,8,2018
RS-0030-F,0,0,0,0,0,0,0,0,0,0,0,1,153,154,163,164,8,2018
RS-0030-H,0,0,0,0,0,0,0,0,0,0,0,1,152,154,161,166,8,2018
RS-0030-I,0,0,0,0,0,0,0,0,0,0,1,0,156,158,162,164,7,2018
RS-0030-J,0,0,0,0,0,0,0,0,0,0,0,1,158,159,161,163,8,2018
RS-0030-K,0,0,0,0,0,0,0,0,0,0,0,1,154,156,161,163,8,2018
RS-0031-CT,0,0,0,0,0,0,0,0,0,0,1,0,154,159,162,163,7,2018
RS-0031-NE,0,0,0,0,0,0,0,0,0,0,0,1,154,157,166,167,8,2018
RS-0031-NW,0,0,0,0,0,0,0,0,0,0,1,0,153,155,157,163,7,2018
RS-0031-SE,0,0,0,0,0,0,0,0,0,0,1,0,152,157,159,167,7,2018
RS-0031-SW,0,0,0,0,0,0,0,0,0,0,1,0,153,157,162,163,7,2018
RS-0034-CT,0,0,0,0,0,0,0,0,0,0,1,0,153,154,158,159,7,2018
RS-0034-NE,0,0,0,0,0,0,0,0,0,1,0,0,153,161,163,164,6,2018
RS-0034-NW,0,0,0,0,0,0,0,0,0,0,1,0,152,153,164,165,7,2018
RS-0034-SE,0,0,0,0,0,0,0,1,0,0,0,0,159,160,162,165,4,2018
RS-0034-SW,0,0,0,0,0,0,0,0,0,1,0,0,154,155,157,158,6,2018
RS-0035-CT,0,0,0,0,0,0,0,0,1,0,0,0,153,154,157,159,5,2018
RS-0035-NE,0,0,0,0,0,0,0,0,0,0,1,0,152,153,158,159,7,2018
RS-0035-NW,0,0,0,0,0,0,0,0,0,1,0,0,152,157,158,159,6,2018
RS-0035-SE,0,0,0,0,0,0,0,0,0,0,1,0,154,156,157,158,7,2018
RS-0035-SW,0,0,0,0,0,0,0,0,0,1,0,0,155,156,157,159,6,2018
RS-0036-CT,0,0,0,0,0,0,0,0,0,0,1,0,153,154,157,159,7,2018
RS-0036-NE,0,0,0,0,0,0,0,0,1,0,0,0,152,153,154,156,5,2018
RS-0036-NW,0,0,0,0,0,0,0,0,0,0,1,0,153,155,156,159,7,2018
RS-0036-SE,0,0,0,0,0,0,0,0,0,0,1,0,153,154,155,156,7,2018
RS-0036-SW,0,0,0,0,0,0,0,0,0,0,1,0,153,154,158,159,7,2018
RS-0037-CT,0,0,0,0,0,0,0,0,0,0,1,0,152,153,154,158,7,2018
RS-0037-NE,0,0,0,0,0,0,0,0,0,1,0,0,152,153,157,158,6,2018
RS-0037-NW,0,0,0,0,0,0,0,0,0,1,0,0,152,155,156,158,6,2018
RS-0037-SE,0,0,0,0,0,0,0,0,0,0,1,0,153,154,156,157,7,2018
RS-0037-SW,0,0,0,0,0,0,0,0,0,0,1,0,153,154,156,158,7,2018
RS-0038-CT,0,0,0,0,0,0,0,0,0,0,1,0,155,156,158,161,7,2018
RS-0038-NE,0,0,0,0,0,0,0,0,1,0,0,0,152,155,158,161,5,2018
RS-0038-NW,0,0,0,0,0,0,0,0,0,1,0,0,153,158,159,162,6,2018
RS-0038-SE,0,0,0,0,1,0,0,0,0,0,0,0,153,155,156,160,1,2018
RS-0038-SW,0,0,0,0,0,0,0,0,0,0,1,0,152,157,160,161,7,2018
RS-0039-CT,0,0,0,0,0,0,0,0,0,0,1,0,152,154,160,161,7,2018
RS-0039-NE,0,0,0,0,0,0,0,0,0,0,0,1,154,161,166,167,8,2018
RS-0039-NW,0,0,0,0,0,0,0,0,0,0,0,1,159,161,163,164,8,2018
RS-0039-SE,0,0,0,0,0,0,0,1,0,0,0,0,154,162,165,167,4,2018
RS-0039-SW,0,0,0,0,0,0,0,0,0,0,0,1,160,161,165,167,8,2018
RS-0040-A,0,0,0,0,0,0,0,0,0,0,0,1,185,187,189,192,8,2018
RS-0040-B,0,0,0,0,0,0,0,0,0,0,0,1,169,170,179,182,8,2018
RS-0040-C,0,0,0,0,0,0,0,0,0,0,0,1,163,166,185,192,8,2018
RS-0040-D,0,0,0,0,0,0,0,0,0,0,0,1,163,171,183,184,8,2018
RS-0040-E,3,2,0,3,0,0,0,0,0,0,0,1,162,174,177,191,8,2018
RS-0041-CT,0,0,0,0,0,0,0,0,0,1,0,0,169,170,182,184,6,2018
RS-0041-NE,0,0,0,0,0,0,0,0,0,0,0,1,170,172,185,189,8,2018
RS-0041-NW,0,0,0,0,0,0,0,0,0,0,0,1,163,173,185,189,8,2018
RS-0041-SE,0,0,0,0,0,0,0,0,1,0,0,0,166,171,187,189,5,2018
RS-0041-SW,0,0,0,0,0,0,0,0,0,0,0,1,166,168,180,190,8,2018
RS-0042-CT,0,0,0,0,0,0,0,0,0,0,1,0,177,184,191,192,7,2018
RS-0042-NE,0,0,0,0,0,0,0,0,0,0,1,0,166,184,189,192,7,2018
RS-0042-NW,0,0,0,0,0,0,0,0,0,0,1,0,161,165,168,170,7,2018
RS-0042-SE,0,0,0,0,0,0,0,0,0,0,1,0,162,170,173,192,7,2018
RS-0042-SW,0,0,0,0,0,0,0,0,0,0,0,1,170,181,182,190,8,2018
RS-0043-CT,0,0,0,0,0,0,0,0,0,0,0,1,174,179,182,187,8,2018
RS-0043-NE,0,0,0,0,0,0,0,0,0,0,0,1,169,171,176,185,8,2018
RS-0043-NW,0,0,0,0,0,0,0,1,0,0,0,0,170,185,186,187,4,2018
RS-0043-SE,0,0,0,0,0,0,0,0,0,0,0,1,165,171,177,181,8,2018
RS-0043-SW,0,0,0,0,0,0,0,0,0,0,0,1,166,173,178,190,8,2018
RS-0044-CT,0,0,0,0,0,0,0,0,0,1,0,0,167,181,187,188,6,2018
RS-0044-NE,0,0,0,0,0,0,0,0,0,0,0,1,161,163,176,187,8,2018
RS-0044-NW,0,0,0,0,0,0,0,0,0,0,1,0,161,164,165,175,7,2018
RS-0044-SE,0,0,0,0,0,0,0,0,0,1,0,0,165,170,171,189,6,2018
RS-0044-SW,0,0,0,0,0,0,0,0,1,0,0,0,165,166,174,181,5,2018
RS-0046-CT,0,0,0,0,0,0,0,0,0,1,0,0,169,173,184,186,6,2018
RS-0046-NE,0,0,1,0,0,0,0,0,0,0,0,1,165,181,182,186,8,2018
RS-0046-NW,0,0,0,0,0,0,0,0,0,0,1,0,166,181,187,189,7,2018
RS-0046-SE,0,0,0,0,0,0,0,0,0,0,0,1,164,172,182,191,8,2018
RS-0046-SW,0,0,0,0,0,0,1,0,0,0,0,0,166,168,174,181,3,2018
RS-0049-CT,0,0,1,2,0,0,0,0,1,0,0,0,161,165,185,188,5,2018
RS-0049-NE,0,1,2,0,0,0,0,0,0,0,0,1,161,169,170,177,8,2018
RS-0049-NW,2,1,1,2,0,0,0,0,0,0,1,0,171,175,184,188,7,2018
RS-0049-SE,0,0,0,1,0,0,0,0,0,0,0,1,172,176,180,192,8,2018
RS-0049-SW,0,0,0,0,0,0,0,0,0,0,1,0,164,169,174,177,7,2018
WREC-008-T,0,0,0,0,1,0,0,0,0,0,0,0,177,181,191,193,1,2019
WREC-009-T,0,0,0,0,0,1,0,0,0,0,0,0,152,157,162,170,2,2019
WREC-015-C,0,0,0,0,0,1,0,0,0,0,0,0,171,178,182,188,2,2019
WREC-015-T,0,0,0,0,1,0,0,0,0,0,0,0,162,166,172,174,1,2019
WREC-019-T,0,0,0,0,0,0,0,1,0,0,0,0,169,170,175,187,4,2019
WREC-021-C,0,0,0,0,0,1,0,0,0,0,0,0,177,182,184,189,2,2019
WREC-021-T,0,0,0,0,1,0,0,0,0,0,0,0,184,186,189,191,1,2019
WREC-022-C,0,0,0,0,0,0,1,0,0,0,0,0,178,181,182,184,3,2019
WREC-022-T,0,0,0,0,0,1,0,0,0,0,0,0,177,182,186,189,2,2019
WREC-025-T,0,0,0,0,1,0,0,0,0,0,0,0,154,175,181,185,1,2019
Y-01-203-A,0,0,0,0,0,0,0,0,0,1,0,0,181,183,185,190,6,2019
Y-01-203-B,0,0,0,0,0,0,0,0,0,1,0,0,181,182,186,189,6,2019
Y-23-282-C,0,0,0,0,0,0,0,0,0,0,0,1,175,187,188,189,8,2018
Y-24-243-E,0,0,0,0,0,0,0,0,0,1,0,0,154,156,158,160,6,2018
Y-24-245-I,0,0,0,0,0,0,0,1,0,0,0,0,152,153,160,161,4,2018
Y-24-245-J,0,0,0,0,0,0,0,0,0,1,0,0,152,154,158,162,6,2018
YP-0006-A,0,0,0,0,0,0,0,0,0,0,0,1,157,160,161,173,8,2018
YP-0007-A,0,0,0,0,0,0,0,0,0,0,0,1,162,164,167,168,8,2018
YP-0017-A,0,0,0,0,0,0,0,0,0,0,0,1,156,157,160,170,8,2018
YP-0018-A,0,0,0,0,0,0,0,0,0,0,0,1,153,162,165,191,8,2018
YP-0022-A,0,0,0,0,0,0,0,0,0,0,0,1,154,161,162,165,8,2018
YP-0023-A,0,0,0,0,0,0,0,1,0,0,0,0,157,169,171,181,4,2018
YP-0027-A,0,0,0,0,0,0,0,0,0,0,0,1,155,157,164,169,8,2018
YP-0028-A,0,0,0,0,0,0,0,0,0,0,0,1,154,160,162,168,8,2018
YP-0029-A,0,0,0,0,0,0,0,0,0,0,0,1,159,162,167,168,8,2018
YP-0030-A,1,1,1,1,0,0,0,0,0,0,0,1,156,158,160,172,8,2018
YP-0031-A,1,2,1,1,0,0,0,0,0,0,1,0,169,170,175,180,7,2018
YP-0031-B,4,3,3,3,0,0,0,0,0,0,0,1,171,176,179,180,8,2018
YP-0031-C,3,2,1,0,0,0,0,0,0,0,0,1,170,174,176,177,8,2018
YP-0033-A,0,0,0,0,0,0,0,1,0,0,0,0,166,171,172,177,4,2018
YP-0036-A,1,0,0,0,0,0,0,0,0,0,0,1,165,166,169,179,8,2018
YP-0036-B,0,0,0,0,0,0,0,0,0,0,0,1,172,176,178,181,8,2018
YP-0036-C,0,0,0,0,0,0,0,0,0,0,0,1,169,170,173,175,8,2018
